product_id,product_name,category,num_reviews_total,num_reviews_clean,num_fakes_removed,avg_star_rating,avg_predicted_star,avg_predicted_confidence,agg_norm_rating,agg_predicted_star_norm,agg_predicted_confidence,agg_mean_mismatch,agg_helpful_votes_total,fuzzy_quality,fuzzy_consensus,fuzzy_dispute,fuzzy_engagement,topsis_score,confidence_discount,senticrank_score,senticrank_score_100,baseline_star_score,sentic_rank_overall,sentic_rank_in_category,baseline_rank_overall,rank_delta
110273332,Toshiba TW-BL70A2UZ (SS) серый,HomeAppliances,29,29,0,4.413793103448276,4.413793103448276,0.8353283409563623,0.9229629629629638,0.9229629629629638,0.8962365829102215,0.0,675.0,0.875,1.0,1.0,0.7206646194089357,0.9131566965019511,0.8529411764705882,0.8602203092467101,86.02203092467101,88.27586206896552,9,1,465,456
138846863,"SHOPIKON SP-60W белый, черный",HomeAppliances,30,30,0,5.0,4.833333333333333,0.8239136392084059,1.0,0.9627976190476184,0.8126578482015852,0.14880952380952656,168.0,0.875,1.0,1.0,0.5673460656941481,0.9099389008191322,0.8571428571428571,0.8585680954585689,85.85680954585689,100.0,11,2,1,-10
112810528,Samsung WW80AGAS26AXLD серый,HomeAppliances,30,30,0,4.633333333333334,4.6,0.8457664286476361,0.9501845018450191,0.9446494464944657,0.9122664076974126,0.02214022140221376,271.0,0.875,1.0,1.0,0.6199790530212941,0.9094265423301463,0.8571428571428571,0.858022474164214,85.8022474164214,92.66666666666667,13,3,398,385
113958394,LG F2V5PS0W белый,HomeAppliances,30,30,0,4.766666666666667,4.766666666666667,0.8419186822110643,0.9549180327868858,0.9549180327868858,0.8382640208453501,0.0,183.0,0.875,1.0,1.0,0.5767508189431294,0.9032102679784554,0.8571428571428571,0.8514026333091327,85.14026333091327,95.33333333333334,24,4,331,307
118826110,Hofmann WM610BWH2/HF белый,HomeAppliances,30,30,0,4.9,4.866666666666666,0.8297815043148741,0.9673076923076922,0.9615384615384613,0.8514892502666658,0.023076923076923495,130.0,0.875,1.0,1.0,0.5391771211300207,0.8996875363661055,0.8571428571428571,0.8476512025759354,84.76512025759354,98.00000000000001,31,5,204,173
140457196,LG F2Y1WS3W белый,HomeAppliances,30,30,0,4.966666666666667,4.966666666666667,0.8655620672999933,0.9801980198019792,0.9801980198019792,0.8813754543890437,0.0,101.0,0.875,1.0,1.0,0.511503301600483,0.8970869560213723,0.8571428571428571,0.8448817900566337,84.48817900566337,99.33333333333334,37,6,121,84
114737614,LG F2V3FS4W белый,HomeAppliances,29,29,0,4.758620689655173,4.793103448275862,0.8580966727031833,0.9458955223880594,0.9477611940298503,0.884614590871214,0.007462686567163348,134.0,0.875,1.0,1.0,0.5425035661230418,0.8940819980232655,0.8529411764705882,0.8400068367722118,84.00068367722118,95.17241379310344,50,7,336,286
100509545,LG F2V5GG2S серый,HomeAppliances,22,22,0,4.636363636363637,4.636363636363637,0.8315294853081517,0.9220085470085472,0.9220085470085472,0.865977262746464,0.0,468.0,0.875,1.0,1.0,0.6802318088999267,0.9066394349883946,0.8148148148148148,0.837520873277466,83.75208732774661,92.72727272727273,56,8,397,341
148971454,Muxxed M F80268EB DG темно‑серый,HomeAppliances,30,30,0,4.866666666666666,4.833333333333333,0.8137943561294486,0.984615384615386,0.9807692307692325,0.8504772424571404,0.04615384615384191,65.0,0.875,1.0,1.0,0.4633588822311023,0.8887935106292556,0.8571428571428571,0.8360499262214758,83.60499262214758,97.33333333333333,64,9,235,171
132580158,Jambo 1036-YJL синий,HomeAppliances,30,29,1,4.551724137931035,4.655172413793103,0.7486640033606642,0.9122983870967741,0.9243951612903233,0.7684742059440356,0.19354838709677508,248.0,0.875,0.9369484118861974,1.0,0.6102079918957961,0.8890186469244137,0.8529411764705882,0.8346411997646476,83.46411997646476,91.0344827586207,70,10,424,354
